Season,Episode,Title,Airdate,Synopsis,Director,Writers
4,4,Faking It,"October 10, 2006.","A routine traffic stop goes wrong when the body of a Petty Officer is discovered in his car with ""NCIS"" written in blood on the seat beside him. The team believe that a Russian spy is responsible but the case hits a snag when a Homeland Security agent claims that the spy is working for the government. However, the team soon discover that an arms dealer connected to a former NIS/NCIS Special Agent may actually be the true killer.",Thomas J. Wright,Shane Brennan
4,5,Dead and Unburied,"October 17, 2006.",The decayed body of a missing Lance Corporal is found in a vacant house that is being auctioned. The team soon discover that the victim was due to be shipped out to Iraq but he never showed up before uncovering a new clue that could change everything - he was engaged to two different women.,Colin Bucksey,Nell Scovell
4,6,Witch Hunt,"October 31, 2006.","As Washington D.C. celebrates Halloween, the NCIS team finds themselves investigating when a Marine is found injured, having been attacked in his home, and they must race to find and save his kidnapped daughter before it's too late while the team are left stunned by Abby's Halloween costume.","James Whitmore, Jr",Steven Kriozere
4,7,Sandblast,"November 7, 2006.","When a Marine Colonel dies in an explosion at a military golf course, having been out playing golf with his son, the NCIS team investigate with the help of an Army CID team led by Lieutenant Colonel Hollis Mann to find out who is responsible for the attack as Tony attempts to talk the youngster out of dropping out of high school and enlisting in the Marines so that he can avenge his dead father.",Dennis Smith,Robert Palm
4,8,Once a Hero,"November 14, 2006.","During a security conference, an honored Marine veteran falls to his death, prompting the conference to be shut down while the NCIS team investigate.",Thomas J. Wright,Shane Brennan
4,9,Twisted Sister,"November 21, 2006.","When his younger sister arrives at his home with blood on her hands, stating she might have killed someone, McGee takes matters into his hands and goes solo in an attempt to find out what happened, risking his career as an NCIS Special Agent while the rest of the team investigate the death of a Navy sailor who is later revealed to have a connection to McGee's sister.",Terrence O'Hara,Steven D. Binder
4,10,Smoked,November 28. 2006.,NCIS investigate when the body of a man is found in a chimney chute on a marine base with the team discovering that he might have been a serial killer but all is not what it seems.,Dennis Smith,John C. Kelley & Robert Palm
4,11,Driven,"December 12, 2006.","While testing a classified self-driven robotic vehicle for a DOD contractor known as ""OTTO"", a Navy Lieutenant suffers fatal C02 poisoning and dies, prompting NCIS to investigate.",Dennis Smith,Richard Arthur & John C. Kelley & Nell Scovell
4,12,Suspicion,"January 16, 2007.","A Marine intelligence officer is found dead in a hotel room in the small town of Edenvale, prompting NCIS to investigate. Unfortunately, when they arrive, the NCIS team discover that the Sheriff's Department have a suspect- an Iraqi national who had just moved to the town a few months earlier with the team also discovering that Edenvale is a town where prejudice and suspicion is common among the town's population.",Colin Bucksey,Shane Brennan
4,13,Sharif Returns,"January 23, 2007.","NCIS investigate when the body of a Marine Major is discovered in an underground sewer after a series of traffic lights begin acting rather strangely. However, things change when it's revealed that the victim was an unknowing test subject of a highly toxic and illegal chemical weapon, 10 kilograms of which have gone missing and are now in the hands of an enemy from their past, sending the team along with Army CID Lieutenant Colonel Hollis Mann into a race against time to find and stop the threat. ",Terrence O'Hara,Steven D. Binder
4,14,Blowback,"February 6, 2007.","With information received from Mossad, NCIS successfully capture an international arms dealer and they soon discover that ""ARES"", a highly classified weapons system, will be sold to an important and mysterious arms dealer known as ""La Grenouille"". The team then realize that if they want to stop the deal from going ahead, they will need to send someone undercover.",Thomas J. Wright,Christopher Sibler & David J. North & Shane Brennan & Christopher Silber
4,15,Friends and Lovers,"February 13, 2007.","The NCIS team investigate when the body of a Navy sailor is found in an abandoned restaurant with the team believing that the sailor might have been the victim of a serial killer, only to discover that there's more to the case than they first suspected.",Dennis Smith,John C. Kelley
