name,actor,role,cast,episode_key
Wayne Julius,Kirk B. R. Woller,Lieutenant Commander in the United States Navy and the first murder victim.,Guest_Cast,1x14
Wallace,Sean McGowan,Navy Lieutenant James Seeger's RIO- (Radar Intercept Officer).,Guest_Cast,1x14
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x14
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x14
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x14
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x14
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x14
Thomas Morrow,Alan Dale,Director of NCIS.,Recurring_Cast,1x15
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS.,Recurring_Cast,1x15
Tobias Fornell,Joe Spano,Agent with the FBI.,Recurring_Cast,1x15
Mike Granger,Jeff Austin,A man involved in a suspected conspiracy.,Guest_Cast,1x15
David Cameron,Kevin McClatchy,A Lieutenant in the United States Marine Corps.,Guest_Cast,1x15
Charles,John Rosenfeld,An agent with the FBI.,Guest_Cast,1x15
Cobb,Barton Tinapp,An agent presumably with the FBI.,Guest_Cast,1x15
William Ryan,Terry O'Quinn,Gibbs's former C.O. and a Colonel in the United States Marine Corps.,Guest_Cast,1x15
Carlson,Grinnell Morris,An FBI Agent.,Guest_Cast,1x15
Surveillance Technician,David Rountree,A tech who helps narrow down the location for Gibbs and Colonel Ryan.,Guest_Cast,1x15
Silhouette Man,David Grant Wright,Cameo or Minor Role,Guest_Cast,1x15
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x15
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x15
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x15
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x15
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x15
Thomas Morrow,Alan Dale,Director of NCIS.,Recurring_Cast,1x16
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS who is shot in the left shoulder by the unnamed terrorist.,Recurring_Cast,1x16
Paula Cassidy,Jessica Steen,A NCIS Special Agent stationed in Gitmo.,Recurring_Cast,1x16
Ari Haswari,Rudolf Martin,"The terrorist whose name is not revealed. He invades NCIS in a body-bag and takes Ducky, Gerald and eventually Kate hostage.",Guest_Cast,1x16
Daniel Snyder,Robert Cicchini,An NCIS Special Agent stationed in Bahrain.,Guest_Cast,1x16
Christopher Pacci,Tim Kelleher,An NCIS Special Agent.,Guest_Cast,1x16
Balboa,Matthew Del Negro,An NCIS Special Agent.,Guest_Cast,1x16
Arkin,Jennifer Gatti,A Hostage Negotiator.,Guest_Cast,1x16
Horowitz,Joe Sabatino,H.R.T. Leader.,Guest_Cast,1x16
Yasir Qassam,Ali Afshar,A Hamas terrorist.,Guest_Cast,1x16
Charlene,Constance L. McCrory,An clerk in the NCIS Evidence Garage.,Guest_Cast,1x16
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x16
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x16
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x16
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x16
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x16
Ari Haswari,Rudolf Martin,Terrorist. Archive footage. Uncredited role.,Recurring_Cast,1x17
Vince Nutter,Brian Thompson,Master Chief Petty Officer in the United States Navy who's assigned to Pax River.,Guest_Cast,1x17
Howard Carter,Leonard Roberts,A Petty Officer at Pax River.,Guest_Cast,1x17
James Morgan,Chris J. Johnson,A Petty Officer at Pax River.,Guest_Cast,1x17
David Bowman,Ryan Tasz,A Petty Officer at Pax River.,Guest_Cast,1x17
Wong,James Huang,A Petty Officer at Pax River and Petty Officer Gordon's killer.,Guest_Cast,1x17
Chris Gordon,Joshua Bitton,A Petty Officer in the United States Navy who was assigned to Pax River and also the main murder victim. Uncredited role.,Guest_Cast,1x17
Darin Spotnitz,Adam Wylie,A schoolboy and also a businessman.,Guest_Cast,1x17
Zoey,Jennifer Lyons,The young woman Wong blackmailed to keep quiet about Chris Gordon's death.,Guest_Cast,1x17
Antwane Mann,Reginald Ballard,A bouncer who runs his own hair saloon.,Guest_Cast,1x17
Alexandria Cop,Harry Hutchinson,A cop at the crime scene.,Guest_Cast,1x17
Johnny,Alex Weed,A man who appears in the episode.,Guest_Cast,1x17
Nightclub Dancer,Joseph Benjamin Stewart,Uncredited role.,Guest_Cast,1x17
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x17
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x17
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x17
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x17
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x17
Timothy McGee,Sean Murray,NCIS Agent stationed at the Norfolk Naval Base.,Recurring_Cast,1x18
Faith Coleman,Alicia Coppola,A JAG officer who prosecuted Curtin at his trial.,Recurring_Cast,1x18
Christopher Pacci,Tim Kelleher,An NCIS Special Agent who asks Gibbs for help on a cold case but Gibbs is forced to turn him down.,Recurring_Cast,1x18
Ari Haswari,Rudolf Martin,Terrorist. Archive footage. Uncredited role.,Recurring_Cast,1x18
Jack Curtin,Tim Abell,A Navy SEAL/Petty Officer First Class in the United States Navy.,Guest_Cast,1x18
Diego Clare,Randy J. Goodwin,A former JAG lawyer who prosecuted Curtin at his trial.,Guest_Cast,1x18
Mr. Donaldson,Leon Russom,"Jack Curtin's father-in-law and also the father of Curtin's murdered wife, Margaret.",Guest_Cast,1x18
Mrs. Donaldson,Barbara Tarbuck,"Jack Curtin's mother-in-law and also the mother of Curtin's murdered wife, Margaret.",Guest_Cast,1x18
William Foley,Al Sapienza,Jack Curtin's former C.O and a Commander in the United States Navy.,Guest_Cast,1x18
Marie Foley,Roxana Zal,Commander Foley's wife and Mrs. Curtin's lover.,Guest_Cast,1x18
Kevin Curtin,Cody Estes,Jack and Margaret Curtin's young son who is in the care of his mother's parents/Kevin's grandparents.,Guest_Cast,1x18
Vicki Spain,Cristi Harris,A woman living in the house that Jack Curtin breaks into at the beginning of the episode.,Guest_Cast,1x18
Rod Spain,Archie Drury,Vicki's husband and whose clothes Jack Curtin steals before fleeing the scene.,Guest_Cast,1x18
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x18
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x18
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x18
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x18
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x18
Timothy McGee,Sean Murray,NCIS Agent stationed at the Norfolk Naval Base.,Recurring_Cast,1x19
Christopher Pacci,Tim Kelleher,An NCIS Special Agent and also the murder victim.,Recurring_Cast,1x19
Ari Haswari,Rudolf Martin,Terrorist. Archive footage. Uncredited role.,Recurring_Cast,1x19
Amanda Reed,Jamie Luner,"A woman who was once a former Supply Officer named Hamilton Voss, scheduled to undergo gender reassignment surgery in a month, in hopes of making a new life for herself.",Guest_Cast,1x19
Graves,Fredric Lehne,Captain in the United States Navy assigned to the U.S.S. Enterprise.,Guest_Cast,1x19
Pat Stone,Cristine Rose,A real estate agent.,Guest_Cast,1x19
Hanley,John Marshall Jones,A Police Detective.,Guest_Cast,1x19
Norm,Edmund L. Shaff,The manager of the building opposite Voss/Reed's home.,Guest_Cast,1x19
George Trimmets,Loren Lazerine,A Security Guard in the building.,Guest_Cast,1x19
George,Richard Augustine,A janitor in the building where Pacci's body is found.,Guest_Cast,1x19
Jason Patel,Nick Jaine,A Medical Examiner Assistant who helps Ducky.,Guest_Cast,1x19
Sailor,Koco Limbevski,Uncredited role.,Guest_Cast,1x19
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x19
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x19
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x19
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x19
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x19
Timothy McGee,Sean Murray,NCIS Agent stationed at the Norfolk Naval Base.,Recurring_Cast,1x20
Ari Haswari,Rudolf Martin,Terrorist. Archive footage. Uncredited role.,Recurring_Cast,1x20
Bill Atlas,Steve Rankin,Gunnery Sergeant in the United States Marine Corps.,Guest_Cast,1x20
Vanessa,Alex Meneses,A waitress at the Hammersmith Country Bar and also a serial killer.,Guest_Cast,1x20
Joe Sacco,Derek Webster,Major in the United States Marine Corps.,Guest_Cast,1x20
Carol Powers,Jenya Lano,A journalist who's having an affair with missing Marine Bill Atlas.,Guest_Cast,1x20
Mark Cohen,Jacobi Wynne,Corporal in the United States Marine Corps.,Guest_Cast,1x20
Jackson,Cole Griffin,Corporal in the United States Marine Corps.,Guest_Cast,1x20
Bartender,Michael Goetz,A Bartender at the Hammersmith Country Bar.,Guest_Cast,1x20
Police Officer,Robert Floyd,A local officer who meets Gibbs and Kate at the entrance of the tunnels.,Guest_Cast,1x20
Attractive Girl,Dayna Devon,A woman who appears in the episode.,Guest_Cast,1x20
Agent Mark1,Vladimir Rajcic,An Agent who belongs to an unidentified agency. Uncredited role.,Guest_Cast,1x20
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x20
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x20
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x20
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x20
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x20
Timothy McGee,Sean Murray,NCIS Agent stationed at the Norfolk Naval Base who helps the team.,Recurring_Cast,1x21
James Palmer,Brian Dietzen,A young medical school student who is Gerald Jackson's temporary replacement as the Assistant Medical Examiner.,Guest_Cast,1x21
Melinda Stone,Bellamy Young,An Agent with the ATF.,Guest_Cast,1x21
Roger Cooke,Scott MacDonald,A Militia Member who's actually an undercover ATF agent.,Guest_Cast,1x21
Steven Washington,Laz Alonso,Staff Sergeant in the United States Marine Corps and Corporal McClain's C.O.,Guest_Cast,1x21
Rafael,Sam Witwer,Staff Sergeant in the United States Marine Corps.,Guest_Cast,1x21
Patricia McClain,Erin Leshawn Wiley,Corporal in the United States Marine Corps.,Guest_Cast,1x21
Chuck Mannis,Michael Graziadei,A man seen at the beginning of the episode.,Guest_Cast,1x21
Josh,Adam Hendershott,A man seen at the beginning of the episode.,Guest_Cast,1x21
Dillon,Stuart Stone,A man in the Stone pawn shop.,Guest_Cast,1x21
Scott,Laurence Cohen,A man seen at the beginning of the episode. Uncredited role.,Guest_Cast,1x21
Militia Member,Brant Cotton,A member of the militia group but it's presumed that he's an undercover agent for ATF. Uncredited role.,Guest_Cast,1x21
William Moore,Kevin Sizemore,Marine Sergeant. Uncredited role.,Guest_Cast,1x21
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x21
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x21
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x21
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x21
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x21
Timothy McGee,Sean Murray,NCIS Agent stationed at the Norfolk Naval Base.,Recurring_Cast,1x22
James Palmer,Brian Dietzen,A young medical school student who is Gerald Jackson's temporary replacement as the Assistant Medical Examiner.,Recurring_Cast,1x22
Michael Rainer,Adam Baldwin,Lieutenant Tom Johnson's commanding officer.,Guest_Cast,1x22
Denise Johnson,Julie Benz,Navy Lieutenant Rick Johnson's wife.,Guest_Cast,1x22
Rick Johnson,Tom Hughes,Victim and a Lieutenant in the United States Navy. Uncredited role.,Guest_Cast,1x22
Larry Clannon,Doug Savant,A priest and also Lt. Johnson's best friend.,Guest_Cast,1x22
Andrew Kramer,Johnny Sneed,An agent with the CIA.,Guest_Cast,1x22
Porcaro,Matt Battaglia,Navy SEAL and a member of Navy Lieutenant Johnson's unit.,Guest_Cast,1x22
Vengal,Ross Gibby,Petty Officer in the United States Navy and a Navy SEAL.,Guest_Cast,1x22
Folsom,Robert Joseph,Lieutenant Commander in the United States Navy.,Guest_Cast,1x22
Kenny,Austin Priester,Petty Officer in the United States Navy and a Navy SEAL. Uncredited role.,Guest_Cast,1x22
Young Pregnant Woman,Kathryn Gordon,A pregnant woman.,Guest_Cast,1x22
Man,Ryan Culver,Uncredited role.,Guest_Cast,1x22
Leroy Jethro Gibbs,Mark Harmon,An NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x22
Caitlin Todd,Sasha Alexander,A Secret Service Agent previously assigned to the Presidential Protection Detail on Air Force One and who is now an NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x22
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x22
Abigail Sciuto,Pauley Perrette,A Goth who is also the Chief Forensic Scientist for the NCIS Major Case Response Team.,Series_Regulars,1x22
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x22
Timothy McGee,Sean Murray,NCIS Agent stationed at the Norfolk Naval Base.,Recurring_Cast,1x23
James Palmer,Brian Dietzen,Gerald Jackson's temporary replacement as the Assistant Medical Examiner.,Recurring_Cast,1x23
Ari Haswari,Rudolf Martin,"The terrorist who held Ducky, Gerald and Kate hostage.",Recurring_Cast,1x23
Paula Cassidy,Jessica Steen,An NCIS Agent stationed at Gitmo.,Recurring_Cast,1x23
Tobias Fornell,Joe Spano,An agent with the FBI.,Recurring_Cast,1x23
Debra Green,Sheila Frazier,A reporter.,Recurring_Cast,1x23
Daniel Snyder,Robert Cicchini,An NCIS Special Agent stationed in Bahrain.,Recurring_Cast,1x23
George W. Bush,Himself,Archive footage. Uncredited role.,Recurring_Cast,1x23
Marta,Josie Davis,A Swedish terrorist associated with Ari Haswari.,Guest_Cast,1x23
Marvin Atwood,Paul Perri,A man.,Guest_Cast,1x23
Man,Matt Sigloch,A man who works for Marvin Atwood and who helped set up a rocket test for Mr. Craig/Ari Haswari.,Guest_Cast,1x23
Bassam,Nicholas Guilak,A terrorist.,Guest_Cast,1x23
Simi,Amir Talai,Another member of Ari's Haswari terrorist group.,Guest_Cast,1x23
John,Matthew Rauch,A man Kate meets at her local coffee shop.,Guest_Cast,1x23
Technician,Dan Lundy,A tech stationed in MTAC.,Guest_Cast,1x23
Ariel Sharon,Himself,Archive footage. Uncredited role.,Guest_Cast,1x23
